set title "Comparaison des temps de recherche des DOUBLONS"
set xlabel "Nbr livre"
set ylabel "Temps de recherche (s)"
plot "compareSearchDoublons.txt" using 1:2 title "ListeChainée" with lines lc rgb "red" lw 2
set term png
set output "searchDoublons.png"
replot "compareSearchDoublons.txt" using 1:3 title "TableHash_(_t_a_i_l_l_e_=_3_x_n_E_)" with lines lc rgb "blue" lw 3
1000,	0.005897,	0.000055
2000,	0.008573,	0.000054
3000,	0.019576,	0.000094
4000,	0.036650,	0.000140
5000,	0.060364,	0.000203
6000,	0.083966,	0.000305
7000,	0.114312,	0.000413
8000,	0.149586,	0.000426
9000,	0.199062,	0.000568
10000,	0.238202,	0.000669
11000,	0.284356,	0.000745
12000,	0.321263,	0.000864
13000,	0.372623,	0.001005
14000,	0.452094,	0.001236
15000,	0.536268,	0.001438
16000,	0.646179,	0.001650
17000,	0.710607,	0.001882
18000,	0.798101,	0.002078
19000,	0.862758,	0.002245
20000,	0.940251,	0.002452
21000,	1.043115,	0.002809
22000,	1.176190,	0.002978
23000,	1.274482,	0.003209
24000,	1.397728,	0.003401
25000,	1.505711,	0.003600
26000,	1.632690,	0.003874
27000,	1.776901,	0.004232
28000,	1.897830,	0.004434
29000,	2.031807,	0.004741
30000,	2.193707,	0.005014
31000,	2.259316,	0.005298
32000,	2.457469,	0.005705
33000,	2.604417,	0.005931
34000,	2.794038,	0.006279
35000,	2.958919,	0.006627
36000,	3.177947,	0.007038
37000,	3.265679,	0.007340
38000,	3.522736,	0.007788
39000,	3.693903,	0.008160
40000,	3.917053,	0.008569
41000,	4.116858,	0.009173
42000,	4.306793,	0.009314
43000,	4.306825,	0.009408
44000,	4.539308,	0.009968
45000,	4.718338,	0.010334
46000,	4.950327,	0.010729
47000,	5.103535,	0.011240
48000,	5.329055,	0.011588
49000,	5.584705,	0.012123
50000,	5.973592,	0.012549
